Fact	Fact Note	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018"		24.7	18.8	25.3	21.7	29.3	25.5	26.3	25.8	27.4	28.4	27.4	20.7	29	23.6	19.1	19.3	23.3	25.5	24	32.9	29.7	24.5	23.5	24.6	23.6	18	18.6	24.3	27.3	31.7	22.1	33.3	24.5	17.1	23.5	21.7	23.7	26.9	24.8	24.6	17	25	26.4	21.7	22.9	28.4	27.6	25.8	22	17.8
"Median household income (in 2018 dollars), 2014-2018"		"$48,486 "	"$76,715 "	"$56,213 "	"$45,726 "	"$71,228 "	"$68,811 "	"$76,106 "	"$65,627 "	"$53,267 "	"$55,679 "	"$78,084 "	"$53,089 "	"$63,575 "	"$54,325 "	"$58,580 "	"$57,422 "	"$48,392 "	"$47,942 "	"$55,425 "	"$81,868 "	"$77,378 "	"$54,938 "	"$68,411 "	"$43,567 "	"$53,560 "	"$52,559 "	"$59,116 "	"$57,598 "	"$74,057 "	"$79,363 "	"$48,059 "	"$65,323 "	"$52,413 "	"$63,473 "	"$54,533 "	"$51,424 "	"$59,393 "	"$59,445 "	"$63,296 "	"$51,015 "	"$56,499 "	"$50,972 "	"$59,570 "	"$68,374 "	"$60,076 "	"$71,564 "	"$70,116 "	"$44,921 "	"$59,209 "	"$62,268 "
"Per capita income in past 12 months (in 2018 dollars), 2014-2018"		"$26,846 "	"$35,874 "	"$29,265 "	"$25,635 "	"$35,021 "	"$36,415 "	"$43,056 "	"$33,989 "	"$30,197 "	"$29,523 "	"$34,035 "	"$26,772 "	"$34,463 "	"$28,461 "	"$31,085 "	"$30,757 "	"$26,948 "	"$27,027 "	"$31,253 "	"$40,517 "	"$41,794 "	"$30,336 "	"$36,245 "	"$23,434 "	"$29,537 "	"$29,765 "	"$31,101 "	"$29,961 "	"$38,548 "	"$40,895 "	"$26,085 "	"$37,470 "	"$29,456 "	"$35,373 "	"$30,304 "	"$27,432 "	"$32,045 "	"$32,889 "	"$34,619 "	"$27,986 "	"$29,801 "	"$28,511 "	"$30,143 "	"$28,239 "	"$33,238 "	"$37,763 "	"$36,888 "	"$25,479 "	"$32,018 "	"$32,295 "
"Persons in poverty, percent"		16.80%	10.90%	14.00%	17.20%	12.80%	9.60%	10.40%	12.50%	13.60%	14.30%	8.80%	11.80%	12.10%	13.10%	11.20%	12.00%	16.90%	18.60%	11.60%	9.00%	10.00%	14.10%	9.60%	19.70%	13.20%	13.00%	11.00%	12.90%	7.60%	9.50%	19.50%	13.60%	14.00%	10.70%	13.90%	15.60%	12.60%	12.20%	12.90%	15.30%	13.10%	15.30%	14.90%	9.00%	11.00%	10.70%	10.30%	17.80%	11.00%	11.10%
"Total employer establishments, 2017"		"100,419"	"21,279"	"143,306"	"66,786"	"941,377"	"169,842"	"89,574"	"25,452"	"557,308"	"233,500"	"32,800"	"47,574"	"321,135"	"148,377"	"82,685"	"74,947"	"91,241"	"106,599"	"41,622"	"139,446"	"179,828"	"222,553"	"151,816"	"59,294"	"150,882"	"38,192"	"54,954"	"66,430"	"38,371"	"233,907"	"44,039"	"547,034"	"233,363"	"24,596"	"253,001"	"93,674"	"117,357"	"302,772"	"28,783"	"109,238"	"27,099"	"137,918"	"592,677"	"80,140"	"21,158"	"201,893"	"191,045"	"36,522"	"142,136"	"21,148"
"Total employment, 2017"		"1,690,061"	"262,075"	"2,448,538"	"1,030,593"	"14,896,625"	"2,371,694"	"1,536,858"	"400,714"	"8,385,577"	"3,888,928"	"544,056"	"578,134"	"5,497,629"	"2,779,124"	"1,353,681"	"1,199,162"	"1,625,006"	"1,688,674"	"513,745"	"2,335,479"	"3,316,716"	"3,859,949"	"2,685,047"	"939,485"	"2,517,204"	"376,565"	"833,472"	"1,191,625"	"603,923"	"3,679,443"	"626,466"	"8,261,269"	"3,774,377"	"340,521"	"4,815,946"	"1,360,720"	"1,596,637"	"5,433,660"	"435,978"	"1,866,451"	"359,643"	"2,650,007"	"10,580,160"	"1,282,455"	"258,876"	"3,310,542"	"2,768,660"	"549,413"	"2,561,381"	"201,864"
"Total annual payroll, 2017 ($1,000)"		"71,746,399"	"15,007,844"	"113,490,959"	"42,305,514"	"955,043,843"	"126,786,000"	"95,781,512"	"21,975,836"	"378,219,262"	"191,941,305"	"24,366,355"	"23,564,597"	"301,443,641"	"122,892,875"	"58,926,050"	"52,754,605"	"67,733,358"	"75,415,899"	"22,349,651"	"126,632,897"	"216,666,284"	"186,678,533"	"142,129,457"	"35,366,718"	"116,773,811"	"14,773,193"	"36,415,429"	"50,960,493"	"30,634,092"	"220,310,440"	"25,723,101"	"547,344,236"	"175,695,531"	"16,337,205"	"224,627,609"	"59,669,532"	"79,111,280"	"270,592,656"	"20,945,444"	"76,707,295"	"14,719,422"	"120,113,689"	"544,772,560"	"58,191,764"	"11,052,209"	"177,105,769"	"169,766,372"	"22,287,060"	"121,061,234"	"9,436,110"
"Total employment, percent change, 2016-2017"		1.00%	-1.50%	2.90%	0.70%	2.00%	2.30%	0.20%	0.20%	2.60%	2.20%	3.00%	2.80%	-0.30%	2.20%	-0.10%	1.20%	1.40%	-1.20%	0.40%	2.30%	1.90%	1.40%	0.90%	Z	0.90%	-0.50%	-5.80%	2.30%	1.60%	1.20%	-0.40%	1.00%	-0.50%	-1.90%	0.50%	Z	2.90%	1.50%	0.20%	8.70%	0.50%	2.20%	1.40%	3.50%	-1.50%	1.70%	3.10%	-1.70%	1.50%	-3.20%
"Total nonemployer establishments, 2018"		"336,445"	"57,391"	"502,593"	"209,179"	"3,453,769"	"535,299"	"286,874"	"68,623"	"2,388,050"	"955,621"	"112,589"	"135,986"	"996,670"	"422,619"	"212,333"	"202,389"	"295,814"	"385,074"	"117,341"	"510,744"	"573,754"	"730,700"	"416,487"	"222,159"	"426,915"	"93,753"	"138,728"	"245,381"	"108,327"	"745,483"	"125,925"	"1,804,188"	"787,883"	"56,523"	"802,331"	"291,452"	"302,653"	"865,041"	"83,145"	"363,971"	"68,405"	"539,987"	"2,514,301"	"246,766"	"62,027"	"632,995"	"491,908"	"88,150"	"355,166"	"53,042"
"All firms, 2012"		"374,153"	"68,032"	"499,926"	"231,959"	"3,548,449"	"547,352"	"326,693"	"73,418"	"2,100,187"	"929,864"	"118,454"	"146,642"	"1,135,017"	"479,059"	"259,121"	"239,118"	"331,546"	"414,291"	"139,570"	"531,953"	"607,664"	"834,087"	"489,494"	"235,454"	"491,606"	"112,419"	"164,089"	"227,156"	"131,638"	"792,088"	"151,363"	"2,008,988"	"805,985"	"68,270"	"904,814"	"327,229"	"339,305"	"975,453"	"94,642"	"367,726"	"81,314"	"550,453"	"2,356,748"	"251,419"	"75,827"	"653,193"	"541,522"	"114,435"	"432,980"	"62,427"
"Men-owned firms, 2012"		"203,604"	"35,402"	"245,243"	"123,158"	"1,852,580"	"284,554"	"187,845"	"38,328"	"1,084,885"	"480,578"	"60,409"	"70,438"	"609,648"	"253,533"	"135,382"	"125,169"	"184,154"	"215,111"	"79,243"	"276,630"	"357,158"	"446,128"	"268,710"	"125,079"	"257,948"	"55,913"	"83,696"	"114,057"	"76,716"	"464,592"	"71,132"	"1,139,910"	"435,677"	"37,016"	"510,078"	"174,395"	"165,691"	"579,400"	"54,651"	"202,446"	"42,418"	"302,249"	"1,251,696"	"132,163"	"41,270"	"353,012"	"262,650"	"63,112"	"236,252"	"30,039"
"Women-owned firms, 2012"		"137,630"	"22,141"	"182,425"	"75,962"	"1,320,085"	"194,508"	"106,678"	"23,964"	"807,817"	"376,506"	"44,453"	"45,121"	"417,500"	"162,798"	"82,345"	"77,194"	"106,011"	"151,114"	"42,067"	"209,119"	"199,210"	"306,986"	"157,821"	"89,159"	"162,616"	"35,449"	"51,936"	"82,508"	"38,525"	"252,944"	"59,044"	"725,709"	"287,058"	"20,316"	"306,824"	"105,168"	"123,015"	"304,803"	"30,484"	"131,856"	"23,722"	"195,694"	"866,678"	"76,269"	"23,417"	"236,290"	"187,677"	"39,065"	"133,859"	"19,344"
"Minority-owned firms, 2012"		"92,219"	"13,688"	"135,313"	"35,982"	"1,619,857"	"85,849"	"56,113"	"14,440"	"926,112"	"371,588"	"74,208"	"10,592"	"311,684"	"61,252"	"14,707"	"26,127"	"27,258"	"126,100"	"4,339"	"203,394"	"89,967"	"158,946"	"47,302"	"74,824"	"61,035"	"5,578"	"14,571"	"71,864"	"6,111"	"237,242"	"60,622"	"709,021"	"183,380"	"3,190"	"122,653"	"64,875"	"41,456"	"131,512"	"14,737"	"83,233"	"4,101"	"105,234"	"1,070,392"	"24,423"	"2,354"	"185,043"	"92,807"	"5,777"	"40,507"	"4,077"
"Nonminority-owned firms, 2012"		"272,651"	"51,147"	"344,981"	"189,029"	"1,819,107"	"442,365"	"259,614"	"54,782"	"1,121,749"	"538,893"	"38,510"	"130,973"	"795,129"	"405,090"	"236,561"	"204,562"	"296,155"	"277,676"	"131,322"	"314,902"	"499,959"	"657,237"	"428,716"	"155,094"	"415,972"	"102,746"	"144,122"	"144,944"	"121,297"	"533,808"	"83,857"	"1,248,304"	"603,182"	"62,271"	"759,569"	"249,027"	"285,028"	"818,858"	"77,042"	"276,269"	"74,228"	"434,025"	"1,224,845"	"218,826"	"70,491"	"450,109"	"426,697"	"104,785"	"379,934"	"55,397"
"Veteran-owned firms, 2012"		"41,943"	"7,953"	"46,780"	"25,915"	"252,377"	"51,722"	"31,056"	"7,206"	"185,756"	"96,787"	"11,148"	"12,804"	"89,110"	"45,174"	"25,889"	"21,610"	"33,208"	"42,211"	"15,689"	"50,976"	"58,339"	"71,861"	"45,582"	"26,789"	"49,217"	"11,486"	"16,693"	"23,049"	"16,119"	"57,996"	"14,096"	"137,532"	"86,571"	"6,584"	"91,316"	"36,273"	"30,918"	"97,969"	"9,904"	"47,987"	"8,604"	"59,379"	"213,590"	"18,754"	"8,237"	"76,434"	"49,331"	"12,912"	"39,830"	"6,470"
"Nonveteran-owned firms, 2012"		"316,984"	"56,091"	"427,582"	"192,988"	"3,176,341"	"469,524"	"281,182"	"60,318"	"1,846,686"	"800,585"	"101,334"	"124,314"	"1,006,885"	"412,543"	"217,779"	"203,401"	"282,704"	"354,460"	"115,839"	"462,232"	"525,667"	"733,517"	"419,628"	"198,566"	"415,542"	"93,393"	"137,254"	"191,293"	"108,817"	"707,975"	"128,693"	"1,811,544"	"684,743"	"56,904"	"776,193"	"273,491"	"288,790"	"837,792"	"79,837"	"303,137"	"66,219"	"469,392"	"2,057,218"	"219,807"	"63,317"	"548,439"	"461,401"	"94,960"	"370,755"	"51,353"
"Population per square mile, 2010"		94.4	1.2	56.3	56	239.1	48.5	738.1	460.8	350.6	168.4	211.8	19	231.1	181	54.5	34.9	109.9	104.9	43.1	594.8	839.4	174.8	66.6	63.2	87.1	6.8	23.8	24.6	147	"1,195.50"	17	411.2	196.1	9.7	282.3	54.7	39.9	283.9	"1,018.10"	153.9	10.7	153.9	96.3	33.6	67.9	202.6	101.2	77.1	105	5.8
"Land area in square miles, 2010"		"50,645.33"	"570,640.95"	"113,594.08"	"52,035.48"	"155,779.22"	"103,641.89"	"4,842.36"	"1,948.54"	"53,624.76"	"57,513.49"	"6,422.63"	"82,643.12"	"55,518.93"	"35,826.11"	"55,857.13"	"81,758.72"	"39,486.34"	"43,203.90"	"30,842.92"	"9,707.24"	"7,800.06"	"56,538.90"	"79,626.74"	"46,923.27"	"68,741.52"	"145,545.80"	"76,824.17"	"109,781.18"	"8,952.65"	"7,354.22"	"121,298.15"	"47,126.40"	"48,617.91"	"69,000.80"	"40,860.69"	"68,594.92"	"95,988.01"	"44,742.70"	"1,033.81"	"30,060.70"	"75,811.00"	"41,234.90"	"261,231.71"	"82,169.62"	"9,216.66"	"39,490.09"	"66,455.52"	"24,038.21"	"54,157.80"	"97,093.14"
FIPS Code		"""01"""	"""02"""	"""04"""	"""05"""	"""06"""	"""08"""	"""09"""	"""10"""	"""12"""	"""13"""	"""15"""	"""16"""	"""17"""	"""18"""	"""19"""	"""20"""	"""21"""	"""22"""	"""23"""	"""24"""	"""25"""	"""26"""	"""27"""	"""28"""	"""29"""	"""30"""	"""31"""	"""32"""	"""33"""	"""34"""	"""35"""	"""36"""	"""37"""	"""38"""	"""39"""	"""40"""	"""41"""	"""42"""	"""44"""	"""45"""	"""46"""	"""47"""	"""48"""	"""49"""	"""50"""	"""51"""	"""53"""	"""54"""	"""55"""	"""56"""
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.																																																			
																																																			
Value Notes																																																			
1	Includes data not distributed by county.																																																		
																																																			
Fact Notes																																																			
(a)	Includes persons reporting only one race																																																		
(b)	"Hispanics may be of any race, so also are included in applicable race categories"																																																		
(c)	Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data																																																		
																																																			
Value Flags																																																			
-	"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution."																																																		
D	Suppressed to avoid disclosure of confidential information																																																		
F	Fewer than 25 firms																																																		
FN	Footnote on this item in place of data																																																		
N	Data for this geographic area cannot be displayed because the number of sample cases is too small.																																																		
NA	Not available																																																		
S	Suppressed; does not meet publication standards																																																		
X	Not applicable																																																		
Z	Value greater than zero but less than half unit of measure shown																																																		
